OBJECTID_1	OBJECTID	Shape_Leng	ORIG_FID	MBG_Diameter	Shape_Length	Shape_Area	OBJECTID_12	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	OBJECTID_12_13	OBJECTID_12_13_14	Shape_Leng_1	ORIG_FID_1	RASTERVALU	X	Y
160	162	49.23940097	160	22.11900636	69.4888879	384.2561779	309	2	160	772717.8375	309	160	166	12.11696991	160	-1908	-5936049.5	1023802
161	163	36.57349818	161	11.64179004	36.57353845	106.4447131	316	2	161	772726.7745	316	161	167	10.39041666	161	-1908	-5936058.5	1023803
162	164	301.2228468	162	101.4309395	318.6545703	8080.354963	341	2	162	772774.718	341	162	168	36.29125599	162	-1908	-5936085.5	1023873.438
163	165	25.68539716	163	8.176003384	25.6859757	52.50277648	399	2	163	772837.3845	399	163	169	8.921616789	163	-1890	-5936073.5	1024065.5
164	166	60.91689329	164	19.39054127	60.91697268	295.3022535	381	2	164	772818.3742	381	164	170	26.910428	164	-1890	-5936064.5	1024043.063
165	167	21.9336819	165	6.98181001	21.93414179	38.28524487	424	2	165	772865.7458	424	165	171	55.10844427	165	-1890	-5936103.5	1024084.563
166	168	32.46823588	166	10.33506861	32.46888156	83.89282012	474	2	166	772932.2484	474	166	172	32.02020069	166	-1890	-5936155.5	1024116.125
167	169	23.79339267	167	10.02875961	31.5064044	78.99285711	498	2	167	772956.4932	498	167	173	23.26299558	167	-1890	-5936163	1024156.563
168	170	19.58368559	168	8.265826145	25.96809072	53.66241027	484	2	168	772939.1411	484	168	174	28.07900969	168	-1890	-5936149	1024152.063
169	171	26.02690243	169	9.276076367	29.14172762	67.58039489	431	2	169	772871.4674	431	169	175	32.14707224	169	-1890	-5936082	1024139.625
170	172	17.67442327	170	7.515519892	23.61095375	44.36262099	347	2	170	772777.4365	347	170	176	32.20131201	170	-1928	-5935991.5	1024132.438
171	173	111.1460622	171	39.56539407	124.2985018	1229.481289	391	2	171	772828.0008	391	171	177	32.77995865	171	-1890	-5936039.5	1024144.5
172	174	77.37510027	172	29.15783361	91.60193027	667.7276906	400	2	172	772838.3941	400	172	178	24.92182549	172	-1890	-5936046.5	1024151.25
173	175	61.23372486	173	22.74352834	71.45081251	406.2603886	387	2	173	772824.0016	387	173	179	52.08602759	173	-1890	-5936044	1024120.125
174	176	34.90928982	174	11.11206064	34.90948851	96.97886727	265	2	174	772608.0155	265	174	180	83.92288331	174	-1928	-5935776.5	1024249.875
175	177	36.24582708	175	14.19903166	44.60747409	158.3453811	229	2	175	772561.2005	229	175	181	61.93869936	175	-1928	-5935745	1024200.125
176	178	26.44161444	176	10.1646923	31.93303269	81.14662601	287	2	176	772657.4856	287	176	182	45.00218046	176	-1928	-5935823.5	1024248.813
177	179	100.3210292	177	42.5232334	133.5905727	1420.174661	300	2	177	772696.147	300	177	183	49.77204229	177	-1928	-5935883	1024203.125
178	180	64.75770947	178	25.38718832	79.75592686	506.1929227	295	2	178	772671.1322	295	178	184	60.87247602	178	-1928	-5935854.5	1024217.5
179	181	153.6588613	179	48.5480551	152.5182131	1851.115652	392	2	179	772828.2991	392	179	185	33.52909846	179	-1928	-5935975.5	1024307.875
180	182	39.69740349	180	14.3771578	45.16710711	162.3434186	443	2	180	772892.0613	443	180	186	43.2997509	180	-1890	-5936025	1024357.188
